blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
0,12794,27,175,64,13135,1,6,7,11,15,4,0,0,0,0,0,0,0,0,0,0,18590,38,191,51,14842,0,7,6,10,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,13539,27,210,58,8545,0,5,3,7,16,2,0,0,0,0,0,0,0,1,1,0,16062,37,251,40,11507,1,3,5,1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,13780,27,190,46,12009,0,8,3,10,13,4,0,0,0,0,0,0,0,1,1,0,16738,39,213,41,13507,1,3,8,3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,12664,27,204,48,15293,0,4,8,5,22,3,0,0,0,0,0,0,0,0,0,0,18435,38,215,32,15556,1,8,4,9,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11478,26,193,52,9808,0,3,6,3,15,3,0,0,0,0,0,0,0,0,0,1,17904,38,222,48,15216,1,6,3,8,177,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12632,28,207,56,7465,1,3,3,3,12,1,0,0,0,0,0,0,0,0,0,0,16703,38,236,48,10679,0,3,3,4,21,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,12358,27,191,46,12470,0,5,7,6,14,3,0,0,0,0,0,0,0,0,0,0,18928,40,249,42,15614,1,7,5,8,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13021,28,223,52,8788,1,4,5,3,16,4,0,0,0,0,0,0,0,0,0,0,16920,38,206,44,15539,0,5,4,8,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13456,25,177,40,12616,1,8,6,11,10,4,0,0,0,0,0,0,0,1,1,0,18163,36,208,48,13209,0,6,8,12,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,13183,26,206,37,7038,0,6,6,6,20,2,0,0,0,0,0,0,0,0,0,0,18053,36,193,42,15734,1,6,6,9,14,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
